candidate_id,science_rank,pbcnet_rank,pbcnet_relative_ddg_kcal_per_mol,rank_scope,openfe_anchor_status,openfe_delta_vs_anchor_kcal_per_mol,openfe_direct_edge_count,series_role,expectation_status,chemistry_vector
JTY027_aniline_diF_26diMe_benzamide,1.0,1.0,-0.22500532731044387,panel_supplied_pbcnet_rank_unverified_openfe_anchor,missing_openfe_anchor,,0,panel_member,panel_local_context,"Advance the chlorinated difluoro winner family in strict PBCNet order, then append route-local optional probes without letting docking or consensus surfaces reorder the family."
JTY027_aniline_diF_2Et_benzamide,2.0,2.0,-0.1844451930502895,panel_supplied_pbcnet_rank_unverified_openfe_anchor,missing_openfe_anchor,,0,panel_member,panel_local_context,"Advance the chlorinated difluoro winner family in strict PBCNet order, then append route-local optional probes without letting docking or consensus surfaces reorder the family."
JTY027_aniline_diF_2F6Me_benzamide,4.0,4.0,-0.11124449553161368,panel_supplied_pbcnet_rank_unverified_openfe_anchor,missing_openfe_anchor,,0,panel_member,panel_local_context,"Advance the chlorinated difluoro winner family in strict PBCNet order, then append route-local optional probes without letting docking or consensus surfaces reorder the family."
JTY027_aniline_diF_2Me6Cl_benzamide,6.0,6.0,0.06789628476703102,panel_supplied_pbcnet_rank_unverified_openfe_anchor,missing_openfe_anchor,,0,panel_member,panel_local_context,"Advance the chlorinated difluoro winner family in strict PBCNet order, then append route-local optional probes without letting docking or consensus surfaces reorder the family."
JTY027_aniline_diF_2CF3_benzamide,7.0,7.0,0.22226427225897374,panel_supplied_pbcnet_rank_unverified_openfe_anchor,missing_openfe_anchor,,0,panel_member,panel_local_context,"Advance the chlorinated difluoro winner family in strict PBCNet order, then append route-local optional probes without letting docking or consensus surfaces reorder the family."
JTY027_aniline_diF_2F_benzamide,8.0,8.0,0.49525359503492444,panel_supplied_pbcnet_rank_unverified_openfe_anchor,missing_openfe_anchor,,0,panel_member,panel_local_context,"Advance the chlorinated difluoro winner family in strict PBCNet order, then append route-local optional probes without letting docking or consensus surfaces reorder the family."
JTY027_aniline_diF_2Cl_benzamide,9.0,9.0,0.5281226031732139,panel_supplied_pbcnet_rank_unverified_openfe_anchor,missing_openfe_anchor,,0,panel_member,panel_local_context,"Advance the chlorinated difluoro winner family in strict PBCNet order, then append route-local optional probes without letting docking or consensus surfaces reorder the family."
JTY023_imidazole_tail,,,-0.393527,panel_local_pbcnet_relative_ddg_unanchored,missing_openfe_anchor,,0,panel_member,panel_local_context,Exploit the PBCNet-winning tail-cleanup and electron-poor heteroaromatic branches while keeping one JTY027 bridge-electronics anchor in-panel.
JTY026_triazine_tail,,,-0.308466,panel_local_pbcnet_relative_ddg_unanchored,missing_openfe_anchor,,0,panel_member,panel_local_context,Exploit the PBCNet-winning tail-cleanup and electron-poor heteroaromatic branches while keeping one JTY027 bridge-electronics anchor in-panel.
JTY023_pyrazine_tail,,,-0.199321,panel_local_pbcnet_relative_ddg_unanchored,missing_openfe_anchor,,0,panel_member,panel_local_context,Exploit the PBCNet-winning tail-cleanup and electron-poor heteroaromatic branches while keeping one JTY027 bridge-electronics anchor in-panel.
JTY027_aniline_diF,,,-0.132021,panel_local_pbcnet_relative_ddg_unanchored,missing_openfe_anchor,,0,panel_member,panel_local_context,Exploit the PBCNet-winning tail-cleanup and electron-poor heteroaromatic branches while keeping one JTY027 bridge-electronics anchor in-panel.
JTY026_pyridyl_tail,,,-0.045218,panel_local_pbcnet_relative_ddg_unanchored,missing_openfe_anchor,,0,panel_member,panel_local_context,Exploit the PBCNet-winning tail-cleanup and electron-poor heteroaromatic branches while keeping one JTY027 bridge-electronics anchor in-panel.
JTY027_aniline_diF_2Me_benzamide,,,0.0,panel_local_pbcnet_relative_ddg_unanchored,missing_openfe_anchor,,0,panel_member,panel_local_context,Exploit the PBCNet-winning tail-cleanup and electron-poor heteroaromatic branches while keeping one JTY027 bridge-electronics anchor in-panel.
