panel_id,candidate_id,rank_display,rank_scope,panel_local_score_rank,pbcnet_rank,relative_ddg_kcal_per_mol,pose_consistency,panel_status,admet_gate_state,admet_property_role,admet_risk_norm,solubility_status,permeability_status,toxicity_status,toxicity_decision,admet_property_packet_schema,admet_property_packet_proof_path
jty_pbcnet_tail_cleanup_r1,JTY023_imidazole_tail,panel score 1,panel_local_relative_ddg_rank,1,,-0.393527,stable,completed,,,,,,,,,
jty_pbcnet_tail_cleanup_r1,JTY026_triazine_tail,panel score 2,panel_local_relative_ddg_rank,2,,-0.308466,stable,completed,,,,,,,,,
jty_pbcnet_tail_cleanup_r1,JTY023_pyrazine_tail,panel score 3,panel_local_relative_ddg_rank,3,,-0.199321,stable,completed,,,,,,,,,
jty_pbcnet_tail_cleanup_r1,JTY027_aniline_diF,panel score 4,panel_local_relative_ddg_rank,4,,-0.132021,moderate,completed,review,jty027_property_followup,0.3655,review,admit,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
jty_pbcnet_tail_cleanup_r1,JTY026_pyridyl_tail,panel score 5,panel_local_relative_ddg_rank,5,,-0.045218,stable,completed,,,,,,,,,
jty_pbcnet_tail_cleanup_r1,JTY027_aniline_diF_2Me_benzamide,panel score 6,panel_local_relative_ddg_rank,6,,0.0,stable,completed,hold,incumbent_control,0.43350000000000005,hold,admit,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
jty_pbcnet_winner_family_exploitation_r1,JTY027_aniline_diF_26diMe_benzamide,series rank 1,official_series_pbcnet_rank,1,1,-0.22500532731044387,not_checked,pending,hold,binding_challenger_liability_debt,0.5505,hold,review,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
jty_pbcnet_winner_family_exploitation_r1,JTY027_aniline_diF_2Et_benzamide,series rank 2,official_series_pbcnet_rank,2,2,-0.1844451930502895,not_checked,pending,hold,tox_lipophilicity_contrast,0.5505,hold,review,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
jty_pbcnet_winner_family_exploitation_r1,JTY027_aniline_diF,series rank 3,official_series_pbcnet_rank,3,3,-0.13202026233276618,not_checked,pending,review,jty027_property_followup,0.3655,review,admit,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
jty_pbcnet_winner_family_exploitation_r1,JTY027_aniline_diF_2F6Me_benzamide,series rank 4,official_series_pbcnet_rank,4,4,-0.11124449553161368,not_checked,pending,hold,jty027_property_followup,0.43350000000000005,hold,admit,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
jty_pbcnet_winner_family_exploitation_r1,JTY027_aniline_diF_2Me_benzamide,series rank 5,official_series_pbcnet_rank,5,5,0.0,not_checked,pending,hold,incumbent_control,0.43350000000000005,hold,admit,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
jty_pbcnet_winner_family_exploitation_r1,JTY027_aniline_diF_2Me6Cl_benzamide,series rank 6,official_series_pbcnet_rank,6,6,0.06789628476703102,not_checked,pending,hold,jty027_property_followup,0.5505,hold,review,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
jty_pbcnet_winner_family_exploitation_r1,JTY027_aniline_diF_2CF3_benzamide,series rank 7,official_series_pbcnet_rank,7,7,0.22226427225897374,not_checked,pending,hold,tox_lipophilicity_contrast,0.5505,hold,review,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
jty_pbcnet_winner_family_exploitation_r1,JTY027_aniline_diF_2F_benzamide,series rank 8,official_series_pbcnet_rank,8,8,0.49525359503492444,not_checked,pending,hold,permeability_preserving_matched_pair,0.43350000000000005,hold,admit,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
jty_pbcnet_winner_family_exploitation_r1,JTY027_aniline_diF_2Cl_benzamide,series rank 9,official_series_pbcnet_rank,9,9,0.5281226031732139,not_checked,pending,hold,tox_lipophilicity_contrast,0.5505,hold,review,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
jty_pbcnet_winner_family_exploitation_r1,JTY027_aniline_diF_2Cyano_benzamide,not ranked,missing_pbcnet_score,,,,not_checked,pending,review,polarity_permeability_sentinel,0.3655,review,admit,review,review,sdf.jty027_sar_admet_property_packet.v1,/workspace/jldos_outputs/shared_runs/jty027_sar_autonomy/current_control_decision.json
jty_pbcnet_winner_family_exploitation_r1,JTY027_aniline_diF_2OcPr_benzamide,not ranked,missing_pbcnet_score,,,,not_checked,pending,,,,,,,,,
jty_pbcnet_winner_family_exploitation_r1,JTY027_aniline_diF_2cPr_benzamide,not ranked,missing_pbcnet_score,,,,not_checked,pending,,,,,,,,,
