Comment,Designator,Footprint,LCSC Part #
(1 uF 16 V X7R 0603),C_3V3,C_0603,
(2x 22 uF 10 V X5R),C_5V,C_0805,
(100 nF 50 V X7R 0603),C_BOOT,C_0603,
(100 uF 50 V electrolytic + 2.2 uF X7R),C_IN,CP_Elec_8x10,
(100 nF 16 V X7R 0402),"C_PIX1,C_PIX10,C_PIX11,C_PIX12,C_PIX13,C_PIX14,C_PIX15,C_PIX16,C_PIX2,C_PIX3,C_PIX4,C_PIX5,C_PIX6,C_PIX7,C_PIX8,C_PIX9,C_SHT,C_SKY",C_0402,
SS34,"D1,D2,D3",D_SMA,
(7-pos 2.0 mm connector),J1,Conn_7pos_2.00mm_THT,
(7-pos 2.0 mm connector),J2,Conn_7pos_2.00mm_THT,
(68 uH 1 A shielded power inductor),"L1,L3",L_5.2x5.2mm,
(33 uH 3 A shielded power inductor),L2,L_7.3x7.3mm,
"(5x warm-white 5730, 2200 K)","LED_W_A1,LED_W_A2,LED_W_A3,LED_W_A4,LED_W_A5",LED_5730,
"(5x warm-white 5730, 3000 K)","LED_W_B1,LED_W_B2,LED_W_B3,LED_W_B4,LED_W_B5",LED_5730,
SK6812 RGBW 5050,"PIX1,PIX10,PIX11,PIX12,PIX13,PIX14,PIX15,PIX16,PIX2,PIX3,PIX4,PIX5,PIX6,PIX7,PIX8,PIX9",LED_SK6812_PLCC4_5.0x5.0mm,
(300 ohm 0603),R_DIN,R_0603,
"(1 % 0603, value UNREAD)","R_FB1,R_FB2",R_0603,
(0.68 ohm 1 % 0805),"R_SET_A,R_SET_B",R_0805,
AL8860,U1,SOT-23-5,
LMR16030,U2,HSOP-8_PowerPAD,
AL8860,U3,SOT-23-5,
HDC3020,U4,DFN-4_2.5x2.5mm,
OPT4048,U5,SOT-5X3-8,
AP2112K-3.3,U6,SOT-23-5,
