Designator,Mid X,Mid Y,Layer,Rotation
PIX1,128.0000mm,100.0000mm,Top,270
C_PIX1,128.0000mm,100.0000mm,Bottom,270
PIX2,125.8686mm,89.2849mm,Top,292.5
C_PIX2,125.8686mm,89.2849mm,Bottom,292.5
PIX3,119.7990mm,80.2010mm,Top,315
C_PIX3,119.7990mm,80.2010mm,Bottom,315
PIX4,110.7151mm,74.1314mm,Top,337.5
C_PIX4,110.7151mm,74.1314mm,Bottom,337.5
PIX5,100.0000mm,72.0000mm,Top,0
C_PIX5,100.0000mm,72.0000mm,Bottom,0
PIX6,89.2849mm,74.1314mm,Top,22.5
C_PIX6,89.2849mm,74.1314mm,Bottom,22.5
PIX7,80.2010mm,80.2010mm,Top,45
C_PIX7,80.2010mm,80.2010mm,Bottom,45
PIX8,74.1314mm,89.2849mm,Top,67.5
C_PIX8,74.1314mm,89.2849mm,Bottom,67.5
PIX9,72.0000mm,100.0000mm,Top,90
C_PIX9,72.0000mm,100.0000mm,Bottom,90
PIX10,74.1314mm,110.7151mm,Top,112.5
C_PIX10,74.1314mm,110.7151mm,Bottom,112.5
PIX11,80.2010mm,119.7990mm,Top,135
C_PIX11,80.2010mm,119.7990mm,Bottom,135
PIX12,89.2849mm,125.8686mm,Top,157.5
C_PIX12,89.2849mm,125.8686mm,Bottom,157.5
PIX13,100.0000mm,128.0000mm,Top,180
C_PIX13,100.0000mm,128.0000mm,Bottom,180
PIX14,110.7151mm,125.8686mm,Top,202.5
C_PIX14,110.7151mm,125.8686mm,Bottom,202.5
PIX15,119.7990mm,119.7990mm,Top,225
C_PIX15,119.7990mm,119.7990mm,Bottom,225
PIX16,125.8686mm,110.7151mm,Top,247.5
C_PIX16,125.8686mm,110.7151mm,Bottom,247.5
LED_W_A1,113.0000mm,100.0000mm,Top,270
LED_W_B1,110.5172mm,92.3588mm,Top,306
LED_W_A2,104.0172mm,87.6363mm,Top,342
LED_W_B2,95.9828mm,87.6363mm,Top,18
LED_W_A3,89.4828mm,92.3588mm,Top,54
LED_W_B3,87.0000mm,100.0000mm,Top,90
LED_W_A4,89.4828mm,107.6412mm,Top,126
LED_W_B4,95.9828mm,112.3637mm,Top,162
LED_W_A5,104.0172mm,112.3637mm,Top,198
LED_W_B5,110.5172mm,107.6412mm,Top,234
J1,80.1985mm,105.3058mm,Bottom,105
J2,119.8015mm,94.6942mm,Bottom,285
U2,111.3180mm,81.1346mm,Bottom,329.039
L2,100.4224mm,78.0041mm,Bottom,358.9
C_IN,87.7871mm,81.7013mm,Bottom,33.7199
D2,80.3318mm,90.1428mm,Bottom,63.3812
C_BOOT,105.9809mm,90.1776mm,Bottom,328.663
C_5V,102.2551mm,88.7233mm,Bottom,348.691
R_FB1,98.2566mm,88.6329mm,Bottom,8.71977
R_FB2,94.7517mm,89.7674mm,Bottom,27.1531
R_DIN,91.7855mm,91.9519mm,Bottom,45.5865
C_SHT,89.8765mm,94.5442mm,Bottom,61.6786
U1,85.9749mm,116.9498mm,Bottom,140.394
L1,92.5061mm,120.6843mm,Bottom,160.085
D1,101.2890mm,121.9622mm,Bottom,183.359
U3,108.2619mm,120.3897mm,Bottom,202.058
L3,114.6489mm,116.4137mm,Bottom,221.748
D3,119.9424mm,109.2897mm,Bottom,245.023
R_SET_A,93.9029mm,109.7506mm,Bottom,147.982
U4,98.2335mm,111.3635mm,Bottom,171.164
R_SET_B,102.8494mm,111.1414mm,Bottom,194.346
U6,107.2023mm,108.9653mm,Bottom,218.777
C_3V3,110.1172mm,105.4673mm,Bottom,241.613
U5,100.0000mm,100.0000mm,Top,0
C_SKY,100.0000mm,104.0000mm,Top,0
